id;nome;needs_translation;notes
kit-crianca-real-madrid-25-26;Kit Criança Real Madrid 2025/26 Principal;Sim;Categoria criança
kit-crianca-inter-miami-25-26;Kit Criança Inter Miami 2025/26 Principal;Sim;Categoria criança
kit-crianca-flamengo-25-26-away;Kit Criança Flamengo 2025/26 Alternativa;Sim;Categoria criança
kit-crianca-portugal-25-26-treino;Kit Criança Portugal 2025/26 Treino;Sim;"Referencia Portugal/Liga PT; Categoria criança"
kit-crianca-portugal-25-26-away;Kit Criança Portugal 2025/26 Alternativa;Sim;"Referencia Portugal/Liga PT; Categoria criança"
kit-crianca-real-madrid-24-25-third;Kit Criança Real Madrid 2024/25 Terceira;Sim;Categoria criança
retro-porto-86-87;Camisola Retro Porto 86/87 Principal;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
retro-benfica-07-08-away;Camisola Retro Benfica 07/08 Alternativa;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
retro-benfica-97-99-away;Camisola Retro Benfica 97/99 Alternativa;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
retro-porto-10-11;Camisola Retro Porto 10/11 Principal;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
retro-benfica-04-05;Camisola Retro Benfica 2004/05 Principal;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
retro-benfica-09-10-away;Camisola Retro Benfica 2009/10 Alternativa;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
retro-benfica-13-14-away;Camisola Retro Benfica 2013/14 Alternativa;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
retro-sporting-00-01;Camisola Retro Sporting CP 2000/01 Principal;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
retro-benfica-02-03-away;Camisola Retro Benfica 02/03 Alternativa;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
retro-benfica-73-74-away;Camisola Retro Benfica 73/74 Alternativa;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
retro-benfica-73-74;Camisola Retro Benfica 73/74 Principal;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
retro-porto-90-93;Camisola Retro Porto 90/93 Principal;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
retro-porto-94-95;Camisola Retro Porto 94/95 Principal;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
retro-porto-95-97;Camisola Retro Porto 95/97 Principal;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
retro-porto-97-99;Camisola Retro Porto 97/99 Principal;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
retro-porto-03-04;Camisola Retro Porto 2003/04 Principal;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
kit-crianca-real-betis-special-edition-2526;Kit Criança Real Betis Special Edition 2025/26;Sim;Categoria criança
camisola-al-nassr-alternativa-202425;Camisola Al-Nassr Alternativa 2024/25;Sim;Traduzir descrições
real-madrid-special-edition-player-2526;Real Madrid Special Edition Versão Jogador 25/26;Sim;Traduzir descrições
dortmund-25-26-player-home;Camisola Player Dortmund Principal 2025/26;Sim;Traduzir descrições
benfica-retro-adidas-originals-2526;Camisola Retro SL Benfica x Adidas Originals 25/26;Sim;Clube português
casaco-retro-benfica-adidas-originals-2526;Casaco Retro SL Benfica x Adidas Originals 25/26;Sim;Clube português
athletic-bilbao-25-26-terceiro-equipamento-kids;Kit Criança Athletic Bilbao terceiro equipamento 2025/26;Sim;Categoria criança
kit-crianca-brazil-principal-2526;Kit Criança Brasil Principal 2025/26;Sim;Categoria criança
real-madrid-terceira-fora-2526;Camisola Real Madrid Terceira Fora 2025/26;Sim;Traduzir descrições
manchester-united-terceira-2526;Camisola Manchester United Terceira 2025/26;Sim;Traduzir descrições
manchester-united-principal-2526;Camisola Manchester United Principal 2025/26;Sim;Traduzir descrições
manchester-city-terceira-2526;Camisola Manchester City Terceira 2025/26;Sim;Traduzir descrições
portugal-treino-i-2025;Equipamento de Treino Portugal I 2025;Sim;Referencia Portugal/Liga PT
portugal-treino-ii-2025;Equipamento de Treino Portugal II 2025;Sim;Referencia Portugal/Liga PT
